date,weekday,trips,avg_trip_duration,awnd_mph,prcp,snow,snw_dpth,tavg,tmin,tmax,wdf2,wdf5,wsf2,wsf5
2016-12-22,Thursday ,581,459.78,9.84,0,0,0,40,32,51,310,290,25.1,33.1
2016-12-23,Friday   ,464,419.56,9.17,0,0,0,42,34,48,310,310,17,21.9
2016-12-24,Saturday ,172,503.86,7.61,0.49,0,0,41,37,46,260,240,16.1,21
2016-12-25,Sunday   ,163,752.21,8.5,0,0,0,43,34,52,340,300,15,21.9
2016-12-26,Monday   ,210,475.51,7.38,0,0,0,35,29,47,230,230,16.1,21
2016-12-27,Tuesday  ,555,656.82,13.65,0.01,0,0,53,40,62,270,270,29.1,38
2016-12-28,Wednesday,461,390.02,8.28,0,0,0,41,31,43,330,330,19.9,25.1
2016-12-29,Thursday ,259,415.77,8.05,0.36,0,0,38,31,45,170,150,18.1,25.1
2016-12-30,Friday   ,365,398.39,14.99,0,0,0,37,32,42,270,270,25.9,33.1
2016-12-31,Saturday ,270,882.88,12.3,0,0,0,35,29,44,200,220,21.9,28
